2016-01-09 09:37:42 startup archives unpack
2016-01-09 09:37:42 install mariadb-server-10.0:amd64 <none> 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:42 status half-installed mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:42 status triggers-pending systemd:amd64 219-7ubuntu6
2016-01-09 09:37:42 status triggers-pending ureadahead:amd64 0.100.0-19
2016-01-09 09:37:42 status triggers-pending man-db:amd64 2.7.0.2-5
2016-01-09 09:37:43 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:43 status unpacked mariadb-server-10.0:amd64 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:43 install libdbd-mysql-perl:amd64 <none> 4.028-2
2016-01-09 09:37:43 status half-installed libdbd-mysql-perl:amd64 4.028-2
2016-01-09 09:37:43 status unpacked libdbd-mysql-perl:amd64 4.028-2
2016-01-09 09:37:43 status unpacked libdbd-mysql-perl:amd64 4.028-2
2016-01-09 09:37:43 install libhtml-template-perl:all <none> 2.95-1
2016-01-09 09:37:43 status half-installed libhtml-template-perl:all 2.95-1
2016-01-09 09:37:43 status unpacked libhtml-template-perl:all 2.95-1
2016-01-09 09:37:43 status unpacked libhtml-template-perl:all 2.95-1
2016-01-09 09:37:43 install mariadb-server:all <none> 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:43 status half-installed mariadb-server:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:43 status unpacked mariadb-server:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:43 status unpacked mariadb-server:all 10.0.22-0ubuntu0.15.04.1
2016-01-09 09:37:43 trigproc systemd:amd64 219-7ubuntu6 <none>
2016-01-09 09:37:43 status half-configured systemd:amd64 219-7ubuntu6
2016-01-09 09:37:43 status installed systemd:amd64 219-7ubuntu6
2016-01-09 09:37:43 trigproc ureadahead:amd64 0.100.0-19 <none>
2016-01-09 09:37:43 status half-configured ureadahead:amd64 0.100.0-19
2016-01-09 09:37:43 status installed ureadahead:amd64 0.100.0-19
2016-01-09 09:37:43 trigproc man-db:amd64 2.7.0.2-5 <none>
2016-01-09 09:37:43 status half-configured man-db:amd64 2.7.0.2-5
2016-01-09 09:37:44 status installed man-db:amd64 2.7.0.2-5
2016-01-09 09:37:44 startup packages configure
2016-01-09 09:37:44 configure libaio1:amd64 0.3.110-1 <none>
2016-01-09 09:37:44 status unpacked libaio1:amd64 0.3.110-1
2016-01-09 09:37:44 status half-configured libaio1:amd64 0.3.110-1
2016-01-09 09:37:44 status installed libaio1:amd64 0.3.110-1
2016-01-09 09:37:44 status triggers-pending libc-bin:amd64 2.21-0ubuntu4
2016-01-09 09:37:44 configure libmysqlclient18:amd64 5.6.27-0ubuntu0.15.04.1 <none>
2016-01-09 09:37:44 status unpacked libmysqlclient18:amd64 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:44 status half-configured libmysqlclient18:amd64 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:44 status installed libmysqlclient18:amd64 5.6.27-0ubuntu0.15.04.1
2016-01-09 09:37:44 configure libreadline5:amd64 5.2+dfsg-2 <none>
2016-01-09 09:37:44 status unpacked libreadline5:amd64 5.2+dfsg-2
2016-01-09 09:37:44 status half-configured libreadline5:amd64 5.2+dfsg-2
2016-01-09 09:37:44 status installed libreadline5:amd64 5.2+dfsg-2
2016-01-09 09:37:44 configure libdbi-perl:amd64 1.631-3build1 <none>
2016-01-09 09:37:44 status unpacked libdbi-perl:amd64 1.631-3build1
2016-01-09 09:37:44 status half-configured libdbi-perl:amd64 1.631-3build1
2016-01-09 09:37:44 status installed libdbi-perl:amd64 1.631-3build1
2016-01-09 09:37:44 configure libterm-readkey-perl:amd64 2.32-1build1 <none>
2016-01-09 09:37:44 status unpacked libterm-readkey-perl:amd64 2.32-1build1
2016-01-09 09:37:44 status half-configured libterm-readkey-perl:amd64 2.32-1build1
2016-01-09 09:37:44 status installed libterm-readkey-perl:amd64 2.32-1build1
